title,total_ratings,install_million,avg_rating,growth_30days,growth_60days,Category,5_star_rating,4_star_rating,3_star_rating,2_star_rating,1_star_rating,price,paid
Boxing Star,741513,10,4,0.6,1.5,Sports,535641,102194,40413,14977,48285,0,FALSE
Godus,740483,10,4,0.1,516.9,Simulation,448604,136222,66882,28655,60118,0,FALSE
Words with Friends: Play Fun Word Puzzle Games,736769,10,4,0,0.1,Word,448241,128403,56855,32637,70630,0,FALSE
Infinity Loop �,735564,10,4,0.7,1.4,Puzzle,586868,90997,26745,9261,21690,0,FALSE
Trial Xtreme 4: Extreme Bike Racing Champions,735549,50,4,0.1,0.3,Racing,460052,86095,52656,28914,107829,0,FALSE
Ultimate Soccer - Football,735171,50,3,0.3,0.6,Sports,437502,68332,53638,34036,141662,0,FALSE
Rayman Adventures,734291,10,4,0.2,0.5,Adventure,548689,77834,37498,17379,52889,0,FALSE
Animal Crossing: Pocket Camp,734122,10,4,0.5,2.4,Simulation,518421,102421,43823,18579,50876,0,FALSE
Brave Frontier,732372,10,4,0,0.1,RolePlaying,518719,100269,41029,18510,53842,0,FALSE
Real Cricket 17,731621,10,4,0.3,0.5,Sports,482387,85634,50657,24070,88870,0,FALSE
Swordigo,728187,10,4,0.5,1,Adventure,601386,54972,24205,10694,36927,0,FALSE
Royal Revolt 2: Tower Defense RTS & Castle Builder,727627,10,4,0.1,0.1,Action,541833,91851,33669,12216,48055,0,FALSE
Dr. Parking 4,725551,100,4,0.7,1.4,Racing,496433,68326,45697,27638,87455,0,FALSE
Racing in Car 2,724219,100,4,2.6,5.4,Racing,475029,61493,45462,32518,109714,0,FALSE
Heroes of Order & Chaos,722453,10,3,0,0.1,Strategy,351940,72277,81782,35723,180728,0,FALSE
Jigty Jigsaw Puzzles,721199,10,4,0,0,Puzzle,600677,52736,26857,8992,31933,0,FALSE
Lara Croft: Relic Run,718905,10,4,0.2,0.5,Action,445276,83143,55372,35836,99275,0,FALSE
LokiCraft,715951,50,4,7.3,16.5,Arcade,483133,69181,37056,24468,102110,0,FALSE
Drag Racing,713034,100,4,0,0,Racing,522787,91183,38976,16107,43979,0,FALSE
World Chef 🍰🍔🍝🍓,712766,10,4,0,0.1,Casual,515705,91031,43134,17633,45261,0,FALSE
Stickman Soccer 2014,709937,10,4,0.1,0.2,Sports,528783,71826,42348,13419,53559,0,FALSE
Let's Fish: Sport Fishing Games. Fishing Simulator,709426,10,4,0.2,0.4,Simulation,494190,133523,50535,9803,21372,0,FALSE
Flight Simulator: Fly Plane 3D,708938,100,3,0.1,0.2,Simulation,442574,63971,56129,29012,117248,0,FALSE
Moto Rider GO: Highway Traffic,707004,100,4,1.1,1.8,Racing,482641,95941,40848,21087,66484,0,FALSE
Mobile Soccer,706812,10,4,0,0,Sports,535210,69973,33539,12723,55364,0,FALSE
Identity V,705186,10,4,1.1,2.6,RolePlaying,454148,86399,47648,25101,91887,0,FALSE
WWE Mayhem,703514,10,4,0.6,1.3,Action,519090,68518,34658,17634,63612,0,FALSE
Unblock Me FREE,701845,50,4,0,0.1,Puzzle,539528,78197,35664,12690,35764,0,FALSE
Touchgrind BMX,701459,10,3,0.4,0.9,Sports,413726,88509,60945,31050,107227,0,FALSE
Sudoku - Free Classic Sudoku Puzzles,701221,10,4,6.8,13.1,Puzzle,519848,129208,34746,5986,11431,0,FALSE
Uphill Rush Water Park Racing,699303,100,4,0.5,1.1,Racing,489279,54309,38758,26555,90399,0,FALSE
Bubble Blast 2,699239,10,4,0,0,Puzzle,458200,129823,50977,23198,37038,0,FALSE
METAL SLUG DEFENSE,696205,10,4,0,0.1,Strategy,435793,80415,54019,22820,103155,0,FALSE
Unblock Ball - Block Puzzle,694965,100,4,0.8,1.9,Puzzle,468482,86334,53179,23037,63930,0,FALSE
Stupid Zombies,693956,50,4,0.9,1.9,Arcade,463486,77216,51767,26398,75087,0,FALSE
Stick Hero,690642,10,4,0,0,Arcade,457100,98199,54710,19396,61235,0,FALSE
Free Trivia Game. Questions & Answers. QuizzLand.,688137,10,4,2.7,6.3,Trivia,599123,45187,15423,7552,20849,0,FALSE
ONE PIECE TREASURE CRUISE,687214,10,4,0.9,2.1,RolePlaying,499705,95877,32128,12298,47204,0,FALSE
What if..,685365,5,4,0,0,Casual,552588,94468,21233,5136,11938,0,FALSE
Mouse,685364,10,4,169.9,0,Puzzle,463196,120923,48379,19969,32895,0,FALSE
Heavy Truck Simulator,683592,10,4,0.3,0.7,Simulation,462013,70983,41810,22014,86769,0,FALSE
Asphalt Xtreme: Rally Racing,682124,10,4,0.3,0.6,Racing,453061,80544,39897,20677,87942,0,FALSE
Virtual Families 2,679330,10,4,0,0.1,Casual,432002,91148,56154,24538,75485,0,FALSE
The Walking Dead: Season Two,677145,10,4,0.1,0.3,Adventure,526704,54521,28494,14271,53152,0,FALSE
Army Men Strike - Military Strategy Simulator,676749,10,4,0.3,0.6,Strategy,422859,100905,53376,21444,78163,0,FALSE
Inside Out Thought Bubbles,673835,10,4,0.1,0.1,Puzzle,500676,79495,36922,17243,39498,0,FALSE
Word Snack - Your Picnic with Words,671436,5,4,0.1,0.3,Word,519890,94490,35754,7146,14154,0,FALSE
Hotel Story: Resort Simulation,671111,10,4,0.1,0.2,Simulation,464483,85302,54588,19605,47130,0,FALSE
Angry Birds POP Bubble Shooter,670105,10,4,0.2,0.3,Casual,494241,81755,38494,15919,39693,0,FALSE
MonsterBusters: Match 3 Puzzle,669939,10,4,0,0.1,Puzzle,535471,95701,22684,5194,10887,0,FALSE
Eyes: Scary Thriller - Creepy Horror Game,668761,10,4,1.1,2.2,Adventure,502309,64074,32411,16085,53879,0,FALSE
Super Stylist - Makeover & Style Fashion Guru,667980,50,4,4.1,8.2,RolePlaying,460506,85901,42462,21843,57264,0,FALSE
School of Dragons,666442,10,4,0.4,1,RolePlaying,444291,75196,44462,23315,79175,0,FALSE
The Simpsons™: Tapped Out,665838,10,4,0.1,0.1,Casual,482665,78462,35349,17654,51705,0,FALSE
Dancing Road: Color Ball Run!,665818,100,4,2,4.5,Music,437466,65470,44575,27672,90633,0,FALSE
Dream Piano - Music Game,664703,50,4,0.4,0.7,Music,487709,65614,36484,18292,56602,0,FALSE
DoubleU Casino - Free Slots,664469,10,4,0.6,1.2,Casino,458507,97014,48182,19338,41426,0,FALSE
Clouds & Sheep,664240,10,4,0.2,0.4,Simulation,545194,52362,27910,10232,28539,0,FALSE
Sonic Dash 2: Sonic Boom,662256,100,4,0.8,863.6,Arcade,469634,59835,38697,23160,70927,0,FALSE
Love Balls,661430,100,4,0.2,0.5,Puzzle,422723,76767,53669,30462,77806,0,FALSE
Sky Whale,660553,10,4,0.1,0.3,Arcade,483682,62930,37560,17430,58950,0,FALSE
Wonder Zoo - Animal rescue !,659139,10,4,0.2,0.3,Casual,451806,82817,44197,20209,60108,0,FALSE
Space shooter - Galaxy attack - Galaxy shooter,656039,50,4,4.6,10.4,Arcade,555192,41420,18778,9270,31377,0,FALSE
